,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind speed
332,Kassala,0,SD,1547330018,55,15.45,36.38,17.66,1.15
333,Tsumeb,0,NA,1547330321,20,-19.25,17.72,25.29,5.55
334,Kenai,20,US,1547326560,72,60.55,-151.26,-13.9,4.1
335,Zhezkazgan,48,KZ,1547330223,75,47.8,67.71,-15.07,3.2
336,Wenling,36,CN,1547330333,100,28.38,121.38,5.59,4.65
337,Henties Bay,0,NA,1547330337,100,-22.12,14.28,16.76,3.3
338,Iracoubo,76,GF,1547330340,67,5.48,-53.21,26.91,2.9
339,Belle Fourche,1,US,1547328900,74,44.67,-103.85,5,3.1
340,Umm Lajj,64,SA,1547330346,100,25.02,37.27,20.46,2.7
341,Beni,20,CD,1547330350,88,0.49,29.47,18.54,1.2
342,Kajaani,75,FI,1547328000,79,64.22,27.73,-6,4.1
343,El Carmen,75,AR,1547326800,60,-24.39,-65.26,24,3.1
344,Fukue,20,JP,1547328600,100,35.03,136.69,3,4.1
345,Tadine,80,NC,1547330363,100,-21.55,167.88,25.59,9.15
346,Shigony,68,RU,1547330366,95,53.39,48.68,-4.62,4.7
347,Roura,40,GF,1547328600,74,4.73,-52.33,27,3.6
348,Ghanzi,0,BW,1547330373,58,-21.7,21.65,22.34,1.05
349,Mizdah,0,LY,1547330376,63,31.45,12.98,4.14,6.85
350,Emerald,0,AU,1547326800,78,-23.53,148.16,24,4.6
351,Idrinskoye,12,RU,1547330386,41,54.37,92.14,-25.57,1.3
352,Mount Pleasant,90,US,1547328900,68,33.16,-94.97,8.3,9.3
353,Labuhan,68,ID,1547330392,97,-2.54,115.51,22.96,0.75
354,Makat,88,KZ,1547330396,93,47.65,53.35,0.91,6.7
355,Cockburn Town,88,TC,1547330399,100,21.46,-71.14,24.94,8.75
356,Karratha,0,AU,1547330403,62,-20.74,116.85,22.41,1.5
357,Lodwar,0,KE,1547330407,35,3.12,35.6,22.46,3.15
358,Palaia Fokaia,75,GR,1547329800,61,37.72,23.95,8,5.7
359,Basco,90,US,1547329980,88,40.33,-91.2,0,6.2
